# IceCube (IC40) zenith-averaged, unfolded atmospheric muon neutrino energy
# spectrum, Table 2 of
#   R. Abbasi et al. (IceCube Coll.), Phys. Rev. D 83 (2011) 012001
#   [arXiv:1010.3980] -- "Measurement of the atmospheric neutrino energy
#   spectrum from 100 GeV to 400 TeV with IceCube"
#
# E2phi is dN/dE * E^2 in GeV s^-1 sr^-1 cm^-2, for nu_mu + nubar_mu.
# The paper quotes only the bin edges, so log10E_ref is left as nan and the
# converter uses the geometric centre of the bin.
# err_lo_pct / err_up_pct are the asymmetric total uncertainties in percent.
#
# flavour,log10E_lo,log10E_hi,log10E_ref,E2phi,err_lo_pct,err_up_pct
numu,2.0,2.3,nan,3.6e-4,28,29
numu,2.3,2.6,nan,1.6e-4,22,21
numu,2.6,2.9,nan,7.0e-5,32,31
numu,2.9,3.2,nan,2.8e-5,50,50
numu,3.2,3.5,nan,1.1e-5,62,65
numu,3.5,3.8,nan,4.0e-6,63,71
numu,3.8,4.1,nan,1.4e-6,58,74
numu,4.1,4.4,nan,4.7e-7,53,82
numu,4.4,4.7,nan,1.6e-7,53,95
numu,4.7,5.0,nan,5.4e-8,57,113
numu,5.0,5.3,nan,2.0e-8,64,135
numu,5.3,5.6,nan,7.9e-9,72,158
