BBN neutrinos, Neutron decay, in eV^-1 cm^-2 s^-1 

    Energy [eV]        Flux 

   2.2000000e-04   8.4712000e+04
   2.3000000e-04   8.7013000e+04
   2.4000000e-04   8.9265000e+04
   2.5000000e-04   9.1471000e+04
   2.6000000e-04   9.3628000e+04
   2.7000000e-04   9.5737000e+04
   2.8000000e-04   9.7798000e+04
   2.9000000e-04   9.9811000e+04
   3.0000000e-04   1.0178000e+05
   3.1000000e-04   1.0369000e+05
   3.2000000e-04   1.0556000e+05
   3.3000000e-04   1.0738000e+05
   3.4000000e-04   1.0916000e+05
   3.5000000e-04   1.1088000e+05
   3.6000000e-04   1.1256000e+05
   3.7000000e-04   1.1419000e+05
   3.8000000e-04   1.1577000e+05
   3.9000000e-04   1.1731000e+05
   4.0000000e-04   1.1879000e+05
   4.1000000e-04   1.2024000e+05
   4.2000000e-04   1.2163000e+05
   4.3000000e-04   1.2298000e+05
   4.4000000e-04   1.2429000e+05
   4.5000000e-04   1.2555000e+05
   4.6000000e-04   1.2676000e+05
   4.7000000e-04   1.2793000e+05
   4.8000000e-04   1.2905000e+05
   4.9000000e-04   1.3014000e+05
   5.0000000e-04   1.3118000e+05
   5.1000000e-04   1.3217000e+05
   5.2000000e-04   1.3313000e+05
   5.3000000e-04   1.3404000e+05
   5.4000000e-04   1.3491000e+05
   5.5000000e-04   1.3574000e+05
   5.6000000e-04   1.3652000e+05
   5.7000000e-04   1.3727000e+05
   5.8000000e-04   1.3798000e+05
   5.9000000e-04   1.3865000e+05
   6.0000000e-04   1.3928000e+05
   6.1000000e-04   1.3987000e+05
   6.2000000e-04   1.4043000e+05
   6.3000000e-04   1.4095000e+05
   6.4000000e-04   1.4143000e+05
   6.5000000e-04   1.4187000e+05
   6.6000000e-04   1.4228000e+05
   6.7000000e-04   1.4265000e+05
   6.8000000e-04   1.4299000e+05
   6.9000000e-04   1.4329000e+05
   7.0000000e-04   1.4356000e+05
   7.1000000e-04   1.4379000e+05
   7.2000000e-04   1.4400000e+05
   7.3000000e-04   1.4417000e+05
   7.4000000e-04   1.4430000e+05
   7.5000000e-04   1.4441000e+05
   7.6000000e-04   1.4448000e+05
   7.7000000e-04   1.4453000e+05
   7.8000000e-04   1.4454000e+05
   7.9000000e-04   1.4452000e+05
   8.0000000e-04   1.4448000e+05
   8.1000000e-04   1.4440000e+05
   8.2000000e-04   1.4430000e+05
   8.3000000e-04   1.4417000e+05
   8.4000000e-04   1.4401000e+05
   8.5000000e-04   1.4382000e+05
   8.6000000e-04   1.4361000e+05
   8.7000000e-04   1.4337000e+05
   8.8000000e-04   1.4311000e+05
   8.9000000e-04   1.4282000e+05
   9.0000000e-04   1.4250000e+05
   9.1000000e-04   1.4216000e+05
   9.2000000e-04   1.4180000e+05
   9.3000000e-04   1.4141000e+05
   9.4000000e-04   1.4100000e+05
   9.5000000e-04   1.4056000e+05
   9.6000000e-04   1.4011000e+05
   9.7000000e-04   1.3963000e+05
   9.8000000e-04   1.3913000e+05
   9.9000000e-04   1.3861000e+05
   1.0000000e-03   1.3807000e+05
   1.1000000e-03   1.3159000e+05
   1.2000000e-03   1.2347000e+05
   1.3000000e-03   1.1405000e+05
   1.4000000e-03   1.0367000e+05
   1.5000000e-03   9.2652000e+04
   1.6000000e-03   8.1268000e+04
   1.7000000e-03   6.9786000e+04
   1.8000000e-03   5.8450000e+04
   1.9000000e-03   4.7488000e+04
   2.0000000e-03   3.7114000e+04
   2.1000000e-03   2.7537000e+04
   2.2000000e-03   1.8970000e+04
   2.3000000e-03   1.1659000e+04
   2.4000000e-03   5.9400000e+03
   2.5000000e-03   2.2584000e+03
   2.6000000e-03   6.2202000e+02
   2.7000000e-03   1.3944000e+02
   2.8000000e-03   3.0335000e+01
   2.9000000e-03   7.8245000e+00
   3.0000000e-03   2.8415000e+00
   3.1000000e-03   1.4784000e+00
   3.2000000e-03   9.8124000e-01
   3.3000000e-03   7.4420000e-01
   3.4000000e-03   6.0675000e-01
   3.5000000e-03   5.1625000e-01
   3.6000000e-03   4.5160000e-01
   3.7000000e-03   4.0280000e-01
   3.8000000e-03   3.6450000e-01
   3.9000000e-03   3.3353000e-01
   4.0000000e-03   3.0788000e-01
   4.1000000e-03   2.8624000e-01
   4.2000000e-03   2.6768000e-01
   4.3000000e-03   2.5154000e-01
   4.4000000e-03   2.3736000e-01
   4.5000000e-03   2.2477000e-01
   4.6000000e-03   2.1349000e-01
   4.7000000e-03   2.0330000e-01
   4.8000000e-03   1.9405000e-01
   4.9000000e-03   1.8559000e-01
   5.0000000e-03   1.7781000e-01
   5.1000000e-03   1.7062000e-01
   5.2000000e-03   1.6396000e-01
   5.3000000e-03   1.5775000e-01
   5.4000000e-03   1.5195000e-01
   5.5000000e-03   1.4651000e-01
   5.6000000e-03   1.4139000e-01
   5.7000000e-03   1.3657000e-01
   5.8000000e-03   1.3201000e-01
   5.9000000e-03   1.2768000e-01
   6.0000000e-03   1.2358000e-01
   6.1000000e-03   1.1968000e-01
   6.2000000e-03   1.1596000e-01
   6.3000000e-03   1.1241000e-01
   6.4000000e-03   1.0902000e-01
   6.5000000e-03   1.0577000e-01
   6.6000000e-03   1.0267000e-01
   6.7000000e-03   9.9683000e-02
   6.8000000e-03   9.6818000e-02
   6.9000000e-03   9.4065000e-02
   7.0000000e-03   9.1416000e-02
   7.1000000e-03   8.8865000e-02
   7.2000000e-03   8.6407000e-02
   7.3000000e-03   8.4036000e-02
   7.4000000e-03   8.1747000e-02
   7.5000000e-03   7.9538000e-02
   7.6000000e-03   7.7403000e-02
   7.7000000e-03   7.5338000e-02
   7.8000000e-03   7.3342000e-02
   7.9000000e-03   7.1409000e-02
   8.0000000e-03   6.9538000e-02
   8.1000000e-03   6.7725000e-02
   8.2000000e-03   6.5969000e-02
   8.3000000e-03   6.4266000e-02
   8.4000000e-03   6.2615000e-02
   8.5000000e-03   6.1012000e-02
   8.6000000e-03   5.9458000e-02
   8.7000000e-03   5.7948000e-02
   8.8000000e-03   5.6483000e-02
   8.9000000e-03   5.5060000e-02
   9.0000000e-03   5.3677000e-02
   9.1000000e-03   5.2333000e-02
   9.2000000e-03   5.1028000e-02
   9.3000000e-03   4.9758000e-02
   9.4000000e-03   4.8524000e-02
   9.5000000e-03   4.7324000e-02
   9.6000000e-03   4.6157000e-02
   9.7000000e-03   4.5022000e-02
   9.8000000e-03   4.3917000e-02
   9.9000000e-03   4.2842000e-02
   1.0000000e-02   4.1796000e-02
   1.1000000e-02   3.2734000e-02
   1.2000000e-02   2.5748000e-02
   1.3000000e-02   2.0326000e-02
   1.4000000e-02   1.6101000e-02
   1.5000000e-02   1.2796000e-02
   1.6000000e-02   1.0204000e-02
   1.7000000e-02   8.1662000e-03
   1.8000000e-02   6.5590000e-03
   1.9000000e-02   5.2880000e-03
   2.0000000e-02   4.2801000e-03
   2.1000000e-02   3.4783000e-03
   2.2000000e-02   2.8382000e-03
   2.3000000e-02   2.3255000e-03
   2.4000000e-02   1.9132000e-03
   2.5000000e-02   1.5805000e-03
   2.6000000e-02   1.3108000e-03
   2.7000000e-02   1.0914000e-03
   2.8000000e-02   9.1233000e-04
   2.9000000e-02   7.6545000e-04
   3.0000000e-02   6.4459000e-04
   3.1000000e-02   5.4475000e-04
   3.2000000e-02   4.6197000e-04
   3.3000000e-02   3.9309000e-04
   3.4000000e-02   3.3556000e-04
   3.5000000e-02   2.8735000e-04
   3.6000000e-02   2.4682000e-04
   3.7000000e-02   2.1262000e-04
   3.8000000e-02   1.8368000e-04
   3.9000000e-02   1.5910000e-04
   4.0000000e-02   1.3818000e-04
   4.1000000e-02   1.2031000e-04
   4.2000000e-02   1.0501000e-04
   4.3000000e-02   9.1869000e-05
   4.4000000e-02   8.0556000e-05
   4.5000000e-02   7.0791000e-05
   4.6000000e-02   6.2342000e-05
   4.7000000e-02   5.5014000e-05
   4.8000000e-02   4.8642000e-05
   4.9000000e-02   4.3091000e-05
   5.0000000e-02   3.8244000e-05
   5.1000000e-02   3.4003000e-05
   5.2000000e-02   3.0284000e-05
   5.3000000e-02   2.7017000e-05
   5.4000000e-02   2.4142000e-05
   5.5000000e-02   2.1606000e-05
   5.6000000e-02   1.9366000e-05
   5.7000000e-02   1.7384000e-05
   5.8000000e-02   1.5627000e-05
   5.9000000e-02   1.4068000e-05
   6.0000000e-02   1.2681000e-05
   6.1000000e-02   1.1445000e-05
   6.2000000e-02   1.0343000e-05
   6.3000000e-02   9.3593000e-06
   6.4000000e-02   8.4790000e-06
   6.5000000e-02   7.6905000e-06
   6.6000000e-02   6.9833000e-06
   6.7000000e-02   6.3481000e-06
   6.8000000e-02   5.7770000e-06
   6.9000000e-02   5.2629000e-06
   7.0000000e-02   4.7994000e-06
   7.1000000e-02   4.3811000e-06
   7.2000000e-02   4.0032000e-06
   7.3000000e-02   3.6614000e-06
   7.4000000e-02   3.3519000e-06
   7.5000000e-02   3.0713000e-06
   7.6000000e-02   2.8168000e-06
   7.7000000e-02   2.5855000e-06
   7.8000000e-02   2.3753000e-06
   7.9000000e-02   2.1839000e-06
   8.0000000e-02   2.0096000e-06
   8.1000000e-02   1.8507000e-06
   8.2000000e-02   1.7056000e-06
   8.3000000e-02   1.5731000e-06
   8.4000000e-02   1.4520000e-06
   8.5000000e-02   1.3411000e-06
   8.6000000e-02   1.2396000e-06
   8.7000000e-02   1.1466000e-06
   8.8000000e-02   1.0612000e-06
   8.9000000e-02   9.8290000e-07
   9.0000000e-02   9.1094000e-07
   9.1000000e-02   8.4479000e-07
   9.2000000e-02   7.8394000e-07
   9.3000000e-02   7.2792000e-07
   9.4000000e-02   6.7630000e-07
   9.5000000e-02   6.2872000e-07
   9.6000000e-02   5.8483000e-07
   9.7000000e-02   5.4430000e-07
   9.8000000e-02   5.0687000e-07
   9.9000000e-02   4.7228000e-07
   1.0000000e-01   4.4028000e-07
   1.1000000e-01   2.2445000e-07
   1.2000000e-01   1.1967000e-07
   1.3000000e-01   6.6291000e-08
   1.4000000e-01   3.7965000e-08
   1.5000000e-01   2.2385000e-08
   1.6000000e-01   1.3542000e-08
   1.7000000e-01   8.3828000e-09
   1.8000000e-01   5.2969000e-09
   1.9000000e-01   3.4098000e-09
   2.0000000e-01   2.2324000e-09
   2.1000000e-01   1.4844000e-09
   2.2000000e-01   1.0010000e-09
   2.3000000e-01   6.8390000e-10
   2.4000000e-01   4.7289000e-10
   2.5000000e-01   3.3065000e-10
   2.6000000e-01   2.3361000e-10
   2.7000000e-01   1.6667000e-10
   2.8000000e-01   1.1999000e-10
   2.9000000e-01   8.7131000e-11
   3.0000000e-01   6.3776000e-11
   3.1000000e-01   4.7032000e-11
   3.2000000e-01   3.4929000e-11
   3.3000000e-01   2.6115000e-11
   3.4000000e-01   1.9651000e-11
   3.5000000e-01   1.4876000e-11
   3.6000000e-01   1.1328000e-11
   3.7000000e-01   8.6741000e-12
   3.8000000e-01   6.6772000e-12
   3.9000000e-01   5.1660000e-12
   4.0000000e-01   4.0160000e-12
   4.1000000e-01   3.1361000e-12
   4.2000000e-01   2.4595000e-12
   4.3000000e-01   1.9367000e-12
   4.4000000e-01   1.5310000e-12
