BBN, Tritium decay, in eV^-1 cm^-2 s^-1 	

    Energy[eV]         Flux   

   5.1000000e-06   3.4396000e-05
   5.2000000e-06   3.5724000e-05
   5.3000000e-06   3.7075000e-05
   5.4000000e-06   3.8449000e-05
   5.5000000e-06   3.9847000e-05
   5.6000000e-06   4.1269000e-05
   5.7000000e-06   4.2714000e-05
   5.8000000e-06   4.4182000e-05
   5.9000000e-06   4.5673000e-05
   6.0000000e-06   4.7188000e-05
   6.1000000e-06   4.8726000e-05
   6.2000000e-06   5.0286000e-05
   6.3000000e-06   5.1870000e-05
   6.4000000e-06   5.3476000e-05
   6.5000000e-06   5.5105000e-05
   6.6000000e-06   5.6757000e-05
   6.7000000e-06   5.8431000e-05
   6.8000000e-06   6.0128000e-05
   6.9000000e-06   6.1847000e-05
   7.0000000e-06   6.3589000e-05
   7.1000000e-06   6.5353000e-05
   7.2000000e-06   6.7139000e-05
   7.3000000e-06   6.8947000e-05
   7.4000000e-06   7.0777000e-05
   7.5000000e-06   7.2629000e-05
   7.6000000e-06   7.4502000e-05
   7.7000000e-06   7.6398000e-05
   7.8000000e-06   7.8315000e-05
   7.9000000e-06   8.0254000e-05
   8.0000000e-06   8.2214000e-05
   8.1000000e-06   8.4196000e-05
   8.2000000e-06   8.6199000e-05
   8.3000000e-06   8.8223000e-05
   8.4000000e-06   9.0268000e-05
   8.5000000e-06   9.2335000e-05
   8.6000000e-06   9.4422000e-05
   8.7000000e-06   9.6530000e-05
   8.8000000e-06   9.8659000e-05
   8.9000000e-06   1.0081000e-04
   9.0000000e-06   1.0298000e-04
   9.1000000e-06   1.0517000e-04
   9.2000000e-06   1.0738000e-04
   9.3000000e-06   1.0961000e-04
   9.4000000e-06   1.1187000e-04
   9.5000000e-06   1.1414000e-04
   9.6000000e-06   1.1643000e-04
   9.7000000e-06   1.1874000e-04
   9.8000000e-06   1.2108000e-04
   9.9000000e-06   1.2343000e-04
   1.0000000e-05   1.2580000e-04
   1.1000000e-05   1.5059000e-04
   1.2000000e-05   1.7726000e-04
   1.3000000e-05   2.0573000e-04
   1.4000000e-05   2.3589000e-04
   1.5000000e-05   2.6767000e-04
   1.6000000e-05   3.0095000e-04
   1.7000000e-05   3.3565000e-04
   1.8000000e-05   3.7166000e-04
   1.9000000e-05   4.0889000e-04
   2.0000000e-05   4.4722000e-04
