Cosmic neutrino background, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 

   1.0000000e-06   9.8620000e+10
   1.0233000e-06   1.0326000e+11
   1.0471000e-06   1.0812000e+11
   1.0715000e-06   1.1321000e+11
   1.0965000e-06   1.1853000e+11
   1.1220000e-06   1.2411000e+11
   1.1482000e-06   1.2995000e+11
   1.1749000e-06   1.3606000e+11
   1.2023000e-06   1.4246000e+11
   1.2303000e-06   1.4916000e+11
   1.2589000e-06   1.5618000e+11
   1.2882000e-06   1.6353000e+11
   1.3183000e-06   1.7122000e+11
   1.3490000e-06   1.7927000e+11
   1.3804000e-06   1.8770000e+11
   1.4125000e-06   1.9653000e+11
   1.4454000e-06   2.0577000e+11
   1.4791000e-06   2.1545000e+11
   1.5136000e-06   2.2558000e+11
   1.5488000e-06   2.3618000e+11
   1.5849000e-06   2.4729000e+11
   1.6218000e-06   2.5891000e+11
   1.6596000e-06   2.7109000e+11
   1.6982000e-06   2.8383000e+11
   1.7378000e-06   2.9717000e+11
   1.7783000e-06   3.1114000e+11
   1.8197000e-06   3.2576000e+11
   1.8621000e-06   3.4107000e+11
   1.9055000e-06   3.5710000e+11
   1.9498000e-06   3.7388000e+11
   1.9953000e-06   3.9144000e+11
   2.0417000e-06   4.0984000e+11
   2.0893000e-06   4.2909000e+11
   2.1380000e-06   4.4925000e+11
   2.1878000e-06   4.7035000e+11
   2.2387000e-06   4.9244000e+11
   2.2909000e-06   5.1557000e+11
   2.3442000e-06   5.3978000e+11
   2.3988000e-06   5.6512000e+11
   2.4547000e-06   5.9166000e+11
   2.5119000e-06   6.1944000e+11
   2.5704000e-06   6.4852000e+11
   2.6303000e-06   6.7896000e+11
   2.6915000e-06   7.1082000e+11
   2.7542000e-06   7.4418000e+11
   2.8184000e-06   7.7911000e+11
   2.8840000e-06   8.1566000e+11
   2.9512000e-06   8.5393000e+11
   3.0200000e-06   8.9399000e+11
   3.0903000e-06   9.3593000e+11
   3.1623000e-06   9.7982000e+11
   3.2359000e-06   1.0258000e+12
   3.3113000e-06   1.0739000e+12
   3.3884000e-06   1.1242000e+12
   3.4674000e-06   1.1769000e+12
   3.5481000e-06   1.2321000e+12
   3.6308000e-06   1.2898000e+12
   3.7154000e-06   1.3503000e+12
   3.8019000e-06   1.4135000e+12
   3.8905000e-06   1.4798000e+12
   3.9811000e-06   1.5491000e+12
   4.0738000e-06   1.6216000e+12
   4.1687000e-06   1.6976000e+12
   4.2658000e-06   1.7771000e+12
   4.3652000e-06   1.8603000e+12
   4.4668000e-06   1.9473000e+12
   4.5709000e-06   2.0385000e+12
   4.6774000e-06   2.1338000e+12
   4.7863000e-06   2.2337000e+12
   4.8978000e-06   2.3382000e+12
   5.0119000e-06   2.4475000e+12
   5.1286000e-06   2.5619000e+12
   5.2481000e-06   2.6817000e+12
   5.3703000e-06   2.8071000e+12
   5.4954000e-06   2.9382000e+12
   5.6234000e-06   3.0755000e+12
   5.7544000e-06   3.2192000e+12
   5.8884000e-06   3.3695000e+12
   6.0256000e-06   3.5269000e+12
   6.1660000e-06   3.6915000e+12
   6.3096000e-06   3.8638000e+12
   6.4565000e-06   4.0441000e+12
   6.6069000e-06   4.2327000e+12
   6.7608000e-06   4.4302000e+12
   6.9183000e-06   4.6367000e+12
   7.0795000e-06   4.8529000e+12
   7.2444000e-06   5.0790000e+12
   7.4131000e-06   5.3156000e+12
   7.5858000e-06   5.5632000e+12
   7.7625000e-06   5.8223000e+12
   7.9433000e-06   6.0933000e+12
   8.1283000e-06   6.3769000e+12
   8.3176000e-06   6.6736000e+12
   8.5114000e-06   6.9839000e+12
   8.7096000e-06   7.3087000e+12
   8.9125000e-06   7.6483000e+12
   9.1201000e-06   8.0037000e+12
   9.3325000e-06   8.3755000e+12
   9.5499000e-06   8.7643000e+12
   9.7724000e-06   9.1711000e+12
   1.0000000e-05   9.5967000e+12
   1.0233000e-05   1.0042000e+13
   1.0471000e-05   1.0507000e+13
   1.0715000e-05   1.0994000e+13
   1.0965000e-05   1.1504000e+13
   1.1220000e-05   1.2036000e+13
   1.1482000e-05   1.2593000e+13
   1.1749000e-05   1.3176000e+13
   1.2023000e-05   1.3785000e+13
   1.2303000e-05   1.4422000e+13
   1.2589000e-05   1.5089000e+13
   1.2882000e-05   1.5786000e+13
   1.3183000e-05   1.6514000e+13
   1.3490000e-05   1.7276000e+13
   1.3804000e-05   1.8073000e+13
   1.4125000e-05   1.8905000e+13
   1.4454000e-05   1.9776000e+13
   1.4791000e-05   2.0686000e+13
   1.5136000e-05   2.1638000e+13
   1.5488000e-05   2.2633000e+13
   1.5849000e-05   2.3673000e+13
   1.6218000e-05   2.4760000e+13
   1.6596000e-05   2.5896000e+13
   1.6982000e-05   2.7084000e+13
   1.7378000e-05   2.8325000e+13
   1.7783000e-05   2.9623000e+13
   1.8197000e-05   3.0978000e+13
   1.8621000e-05   3.2395000e+13
   1.9055000e-05   3.3876000e+13
   1.9498000e-05   3.5423000e+13
   1.9953000e-05   3.7039000e+13
   2.0417000e-05   3.8728000e+13
   2.0893000e-05   4.0492000e+13
   2.1380000e-05   4.2335000e+13
   2.1878000e-05   4.4260000e+13
   2.2387000e-05   4.6271000e+13
   2.2909000e-05   4.8371000e+13
   2.3442000e-05   5.0565000e+13
   2.3988000e-05   5.2855000e+13
   2.4547000e-05   5.5248000e+13
   2.5119000e-05   5.7746000e+13
   2.5704000e-05   6.0354000e+13
   2.6303000e-05   6.3077000e+13
   2.6915000e-05   6.5919000e+13
   2.7542000e-05   6.8887000e+13
   2.8184000e-05   7.1984000e+13
   2.8840000e-05   7.5217000e+13
   2.9512000e-05   7.8590000e+13
   3.0200000e-05   8.2111000e+13
   3.0903000e-05   8.5784000e+13
   3.1623000e-05   8.9616000e+13
   3.2359000e-05   9.3614000e+13
   3.3113000e-05   9.7785000e+13
   3.3884000e-05   1.0213000e+14
   3.4674000e-05   1.0667000e+14
   3.5481000e-05   1.1140000e+14
   3.6308000e-05   1.1633000e+14
   3.7154000e-05   1.2148000e+14
   3.8019000e-05   1.2684000e+14
   3.8905000e-05   1.3243000e+14
   3.9811000e-05   1.3825000e+14
   4.0738000e-05   1.4432000e+14
   4.1687000e-05   1.5064000e+14
   4.2658000e-05   1.5723000e+14
   4.3652000e-05   1.6409000e+14
   4.4668000e-05   1.7123000e+14
   4.5709000e-05   1.7867000e+14
   4.6774000e-05   1.8642000e+14
   4.7863000e-05   1.9448000e+14
   4.8978000e-05   2.0287000e+14
   5.0119000e-05   2.1161000e+14
   5.1286000e-05   2.2070000e+14
   5.2481000e-05   2.3015000e+14
   5.3703000e-05   2.3998000e+14
   5.4954000e-05   2.5021000e+14
   5.6234000e-05   2.6084000e+14
   5.7544000e-05   2.7189000e+14
   5.8884000e-05   2.8337000e+14
   6.0256000e-05   2.9530000e+14
   6.1660000e-05   3.0770000e+14
   6.3096000e-05   3.2057000e+14
   6.4565000e-05   3.3393000e+14
   6.6069000e-05   3.4781000e+14
   6.7608000e-05   3.6220000e+14
   6.9183000e-05   3.7714000e+14
   7.0795000e-05   3.9264000e+14
   7.2444000e-05   4.0870000e+14
   7.4131000e-05   4.2535000e+14
   7.5858000e-05   4.4261000e+14
   7.7625000e-05   4.6049000e+14
   7.9433000e-05   4.7900000e+14
   8.1283000e-05   4.9817000e+14
   8.3176000e-05   5.1801000e+14
   8.5114000e-05   5.3854000e+14
   8.7096000e-05   5.5976000e+14
   8.9125000e-05   5.8170000e+14
   9.1201000e-05   6.0438000e+14
   9.3325000e-05   6.2780000e+14
   9.5499000e-05   6.5198000e+14
   9.7724000e-05   6.7693000e+14
   1.0000000e-04   7.0267000e+14
   1.0233000e-04   7.2921000e+14
   1.0471000e-04   7.5656000e+14
   1.0715000e-04   7.8473000e+14
   1.0965000e-04   8.1373000e+14
   1.1220000e-04   8.4356000e+14
   1.1482000e-04   8.7423000e+14
   1.1749000e-04   9.0576000e+14
   1.2023000e-04   9.3813000e+14
   1.2303000e-04   9.7135000e+14
   1.2589000e-04   1.0054000e+15
   1.2882000e-04   1.0403000e+15
   1.3183000e-04   1.0761000e+15
   1.3490000e-04   1.1127000e+15
   1.3804000e-04   1.1501000e+15
   1.4125000e-04   1.1883000e+15
   1.4454000e-04   1.2273000e+15
   1.4791000e-04   1.2671000e+15
   1.5136000e-04   1.3076000e+15
   1.5488000e-04   1.3489000e+15
   1.5849000e-04   1.3908000e+15
   1.6218000e-04   1.4333000e+15
   1.6596000e-04   1.4765000e+15
   1.6982000e-04   1.5203000e+15
   1.7378000e-04   1.5645000e+15
   1.7783000e-04   1.6092000e+15
   1.8197000e-04   1.6543000e+15
   1.8621000e-04   1.6998000e+15
   1.9055000e-04   1.7455000e+15
   1.9498000e-04   1.7914000e+15
   1.9953000e-04   1.8374000e+15
   2.0417000e-04   1.8834000e+15
   2.0893000e-04   1.9293000e+15
   2.1380000e-04   1.9751000e+15
   2.1878000e-04   2.0206000e+15
   2.2387000e-04   2.0657000e+15
   2.2909000e-04   2.1103000e+15
   2.3442000e-04   2.1542000e+15
   2.3988000e-04   2.1975000e+15
   2.4547000e-04   2.2398000e+15
   2.5119000e-04   2.2811000e+15
   2.5704000e-04   2.3212000e+15
   2.6303000e-04   2.3601000e+15
   2.6915000e-04   2.3975000e+15
   2.7542000e-04   2.4333000e+15
   2.8184000e-04   2.4674000e+15
   2.8840000e-04   2.4995000e+15
   2.9512000e-04   2.5296000e+15
   3.0200000e-04   2.5575000e+15
   3.0903000e-04   2.5831000e+15
   3.1623000e-04   2.6062000e+15
   3.2359000e-04   2.6266000e+15
   3.3113000e-04   2.6442000e+15
   3.3884000e-04   2.6590000e+15
   3.4674000e-04   2.6706000e+15
   3.5481000e-04   2.6792000e+15
   3.6308000e-04   2.6844000e+15
   3.7154000e-04   2.6863000e+15
   3.8019000e-04   2.6847000e+15
   3.8905000e-04   2.6796000e+15
   3.9811000e-04   2.6708000e+15
   4.0738000e-04   2.6584000e+15
   4.1687000e-04   2.6423000e+15
   4.2658000e-04   2.6225000e+15
   4.3652000e-04   2.5991000e+15
   4.4668000e-04   2.5719000e+15
   4.5709000e-04   2.5410000e+15
   4.6774000e-04   2.5066000e+15
   4.7863000e-04   2.4686000e+15
   4.8978000e-04   2.4272000e+15
   5.0119000e-04   2.3825000e+15
   5.1286000e-04   2.3345000e+15
   5.2481000e-04   2.2835000e+15
   5.3703000e-04   2.2296000e+15
   5.4954000e-04   2.1729000e+15
   5.6234000e-04   2.1138000e+15
   5.7544000e-04   2.0523000e+15
   5.8884000e-04   1.9887000e+15
   6.0256000e-04   1.9233000e+15
   6.1660000e-04   1.8562000e+15
   6.3096000e-04   1.7878000e+15
   6.4565000e-04   1.7183000e+15
   6.6069000e-04   1.6479000e+15
   6.7608000e-04   1.5769000e+15
   6.9183000e-04   1.5055000e+15
   7.0795000e-04   1.4341000e+15
   7.2444000e-04   1.3629000e+15
   7.4131000e-04   1.2922000e+15
   7.5858000e-04   1.2221000e+15
   7.7625000e-04   1.1530000e+15
   7.9433000e-04   1.0850000e+15
   8.1283000e-04   1.0184000e+15
   8.3176000e-04   9.5330000e+14
   8.5114000e-04   8.8999000e+14
   8.7096000e-04   8.2860000e+14
   8.9125000e-04   7.6927000e+14
   9.1201000e-04   7.1214000e+14
   9.3325000e-04   6.5731000e+14
   9.5499000e-04   6.0489000e+14
   9.7724000e-04   5.5495000e+14
   1.0000000e-03   5.0753000e+14
   1.0233000e-03   4.6269000e+14
   1.0471000e-03   4.2043000e+14
   1.0715000e-03   3.8075000e+14
   1.0965000e-03   3.4364000e+14
   1.1220000e-03   3.0906000e+14
   1.1482000e-03   2.7698000e+14
   1.1749000e-03   2.4732000e+14
   1.2023000e-03   2.2001000e+14
   1.2303000e-03   1.9497000e+14
   1.2589000e-03   1.7211000e+14
   1.2882000e-03   1.5132000e+14
   1.3183000e-03   1.3250000e+14
   1.3490000e-03   1.1554000e+14
   1.3804000e-03   1.0032000e+14
   1.4125000e-03   8.6723000e+13
   1.4454000e-03   7.4635000e+13
   1.4791000e-03   6.3939000e+13
   1.5136000e-03   5.4520000e+13
   1.5488000e-03   4.6266000e+13
   1.5849000e-03   3.9070000e+13
   1.6218000e-03   3.2828000e+13
   1.6596000e-03   2.7442000e+13
   1.6982000e-03   2.2820000e+13
   1.7378000e-03   1.8875000e+13
   1.7783000e-03   1.5526000e+13
   1.8197000e-03   1.2699000e+13
   1.8621000e-03   1.0328000e+13
   1.9055000e-03   8.3501000e+12
   1.9498000e-03   6.7105000e+12
   1.9953000e-03   5.3596000e+12
   2.0417000e-03   4.2538000e+12
   2.0893000e-03   3.3544000e+12
   2.1380000e-03   2.6278000e+12
   2.1878000e-03   2.0447000e+12
   2.2387000e-03   1.5800000e+12
   2.2909000e-03   1.2123000e+12
   2.3442000e-03   9.2346000e+11
   2.3988000e-03   6.9824000e+11
   2.4547000e-03   5.2397000e+11
   2.5119000e-03   3.9015000e+11
   2.5704000e-03   2.8821000e+11
   2.6303000e-03   2.1118000e+11
   2.6915000e-03   1.5346000e+11
   2.7542000e-03   1.1057000e+11
   2.8184000e-03   7.8976000e+10
   2.8840000e-03   5.5909000e+10
   2.9512000e-03   3.9221000e+10
   3.0200000e-03   2.7258000e+10
   3.0903000e-03   1.8764000e+10
   3.1623000e-03   1.2791000e+10
   3.2359000e-03   8.6328000e+09
   3.3113000e-03   5.7670000e+09
   3.3884000e-03   3.8125000e+09
   3.4674000e-03   2.4935000e+09
   3.5481000e-03   1.6131000e+09
   3.6308000e-03   1.0319000e+09
   3.7154000e-03   6.5253000e+08
   3.8019000e-03   4.0784000e+08
   3.8905000e-03   2.5185000e+08
   3.9811000e-03   1.5363000e+08
   4.0738000e-03   9.2538000e+07
   4.1687000e-03   5.5028000e+07
   4.2658000e-03   3.2294000e+07
   4.3652000e-03   1.8698000e+07
   4.4668000e-03   1.0678000e+07
   4.5709000e-03   6.0121000e+06
   4.6774000e-03   3.3366000e+06
   4.7863000e-03   1.8246000e+06
   4.8978000e-03   9.8274000e+05
   5.0119000e-03   5.2119000e+05
   5.1286000e-03   2.7206000e+05
   5.2481000e-03   1.3973000e+05
   5.3703000e-03   7.0586000e+04
   5.4954000e-03   3.5057000e+04
   5.6234000e-03   1.7111000e+04
   5.7544000e-03   8.2047000e+03
   5.8884000e-03   3.8632000e+03
   6.0256000e-03   1.7854000e+03
   6.1660000e-03   8.0959000e+02
   6.3096000e-03   3.6002000e+02
   6.4565000e-03   1.5693000e+02
   6.6069000e-03   6.7026000e+01
   6.7608000e-03   2.8035000e+01
   6.9183000e-03   1.1478000e+01
   7.0795000e-03   4.5977000e+00
   7.2444000e-03   1.8009000e+00
   7.4131000e-03   6.8945000e-01
   7.5858000e-03   2.5783000e-01
   7.7625000e-03   9.4132000e-02
   7.9433000e-03   3.3534000e-02
   8.1283000e-03   1.1650000e-02
   8.3176000e-03   3.9447000e-03
   8.5114000e-03   1.3010000e-03
   8.7096000e-03   4.1769000e-04
   8.9125000e-03   1.3046000e-04
   9.1201000e-03   3.9614000e-05
   9.3325000e-03   1.1687000e-05
   9.5499000e-03   3.3477000e-06
   9.7724000e-03   9.3041000e-07
   1.0000000e-02   2.5072000e-07
   1.0233000e-02   6.5458000e-08
   1.0471000e-02   1.6546000e-08
   1.0715000e-02   4.0461000e-09
   1.0965000e-02   9.5649000e-10
   1.1220000e-02   2.1840000e-10
   1.1482000e-02   4.8132000e-11
   1.1749000e-02   1.0229000e-11
   1.2023000e-02   2.0947000e-12
   1.2303000e-02   4.1294000e-13
   1.2589000e-02   7.8301000e-14
   1.2882000e-02   1.4268000e-14
   1.3183000e-02   2.4961000e-15
   1.3490000e-02   4.1885000e-16
   1.3804000e-02   6.7349000e-17
   1.4125000e-02   1.0367000e-17
   1.4454000e-02   1.5261000e-18
   1.4791000e-02   2.1462000e-19
   1.5136000e-02   2.8803000e-20
