Cosmogenic, in 10^(-30)eV^-1 cm^-2 s^-1 

    Energy [eV]      Flux(He)        Flux(Fe) 

   1.2589000e+16   7.0931000e-02   1.8549000e-03
   1.5849000e+16   4.5890000e-02   1.0891000e-03
   1.9953000e+16   3.2821000e-02   7.4072000e-04
   2.5119000e+16   2.4925000e-02   5.4934000e-04
   3.1623000e+16   2.0162000e-02   4.3140000e-04
   3.9811000e+16   1.6732000e-02   3.5495000e-04
   5.0119000e+16   1.3978000e-02   2.9806000e-04
   6.3096000e+16   1.1509000e-02   2.4932000e-04
   7.9433000e+16   9.1735000e-03   2.0454000e-04
   1.0000000e+17   7.0227000e-03   1.6348000e-04
   1.2589000e+17   5.1391000e-03   1.2650000e-04
   1.5849000e+17   3.5996000e-03   9.4480000e-05
   1.9953000e+17   2.4240000e-03   6.8305000e-05
   2.5119000e+17   1.5761000e-03   4.7793000e-05
   3.1623000e+17   9.9199000e-04   3.2433000e-05
   3.9811000e+17   6.0869000e-04   2.1370000e-05
   5.0119000e+17   3.6527000e-04   1.3689000e-05
   6.3096000e+17   2.1488000e-04   8.5363000e-06
   7.9433000e+17   1.2392000e-04   5.1885000e-06
   1.0000000e+18   6.9831000e-05   3.0760000e-06
   1.2589000e+18   3.8501000e-05   1.7732000e-06
   1.5849000e+18   2.0631000e-05   9.8709000e-07
   1.9953000e+18   1.0702000e-05   5.3034000e-07
   2.5119000e+18   5.3327000e-06   2.7398000e-07
   3.1623000e+18   2.5571000e-06   1.3539000e-07
   3.9811000e+18   1.1722000e-06   6.3422000e-08
   5.0119000e+18   5.0203000e-07   2.8111000e-08
   6.3096000e+18   2.0414000e-07   1.1504000e-08
   7.9433000e+18   7.7428000e-08   4.0893000e-09
   1.0000000e+19   2.6492000e-08   1.3320000e-09
   1.2589000e+19   7.9765000e-09   4.1815000e-10
   1.5849000e+19   2.1478000e-09   1.1665000e-10
   1.9953000e+19   5.0660000e-10   2.1510000e-11
   2.5119000e+19   7.9344000e-11   2.1203000e-12
   3.1623000e+19   3.8680000e-12   5.1492000e-13
   3.9811000e+19   0.0000000e+00   1.1464000e-13
