DSNB, in eV^-1 cm^-2 s^-1 

    Energy [eV]     Flux nu(min)   Flux nu(max)  Flux antinu(min) Flux antinu(max)
   1.0000000e+06   4.8400658e-06   4.4507652e-06   3.6026664e-06   3.0085039e-06
   2.0000000e+06   9.5725289e-06   8.8654060e-06   7.2158862e-06   6.3138962e-06
   3.0000000e+06   1.0297147e-05   9.6306521e-06   8.1932544e-06   7.4801112e-06
   4.0000000e+06   8.9809396e-06   8.5001804e-06   7.5714397e-06   7.0857165e-06
   5.0000000e+06   7.2662554e-06   6.9666931e-06   6.4576322e-06   6.1283142e-06
   6.0000000e+06   5.7104689e-06   5.5484403e-06   5.3212108e-06   5.0943735e-06
   7.0000000e+06   4.4356896e-06   4.3687692e-06   4.3143263e-06   4.1568033e-06
   8.0000000e+06   3.4307943e-06   3.4263062e-06   3.4699391e-06   3.3610985e-06
   9.0000000e+06   2.6514507e-06   2.6860746e-06   2.7796259e-06   2.7059608e-06
   1.0000000e+07   2.0511270e-06   2.1087780e-06   2.2225080e-06   2.1747030e-06
   1.1000000e+07   1.5897513e-06   1.6595684e-06   1.7759386e-06   1.7472906e-06
   1.2000000e+07   1.2351437e-06   1.3099346e-06   1.4192607e-06   1.4047961e-06
   1.3000000e+07   9.6223617e-07   1.0373509e-06   1.1348759e-06   1.1308291e-06
   1.4000000e+07   7.5177786e-07   8.2431221e-07   9.0827729e-07   9.1176425e-07
   1.5000000e+07   5.8908184e-07   6.5732112e-07   7.2771486e-07   7.3651596e-07
   1.6000000e+07   4.6297199e-07   5.2600330e-07   5.8376551e-07   5.9617301e-07
   1.7000000e+07   3.6494673e-07   4.2238995e-07   4.6891492e-07   4.8362094e-07
   1.8000000e+07   2.8853284e-07   3.4035440e-07   3.7719022e-07   3.9320157e-07
   1.9000000e+07   2.2879311e-07   2.7517755e-07   3.0385187e-07   3.2042368e-07
   2.0000000e+07   1.8195367e-07   2.2321564e-07   2.4514179e-07   2.6172500e-07
   2.1000000e+07   1.4512280e-07   1.8164730e-07   1.9808048e-07   2.1427982e-07
   2.2000000e+07   1.1607893e-07   1.4828129e-07   1.6030495e-07   1.7584530e-07
   2.3000000e+07   9.3110701e-08   1.2141033e-07   1.2994005e-07   1.4463935e-07
   2.4000000e+07   7.4896163e-08   9.9699896e-08   1.0549656e-07   1.1924407e-07
   2.5000000e+07   6.0411349e-08   8.2103363e-08   8.5790590e-08   9.8529554e-08
   2.6000000e+07   4.8860911e-08   6.7797172e-08   6.9880001e-08   8.1593840e-08
   2.7000000e+07   3.9625391e-08   5.6131151e-08   5.7014177e-08   6.7715562e-08
   2.8000000e+07   3.2221009e-08   4.6590322e-08   4.6594368e-08   5.6316659e-08
   2.9000000e+07   2.6268941e-08   3.8765473e-08   3.8142367e-08   4.6932949e-08
   3.0000000e+07   2.1471758e-08   3.2330386e-08   3.1275746e-08   3.9190908e-08
   3.1000000e+07   1.7595330e-08   2.7024195e-08   2.5688272e-08   3.2789306e-08
   3.2000000e+07   1.4454881e-08   2.2637646e-08   2.1134391e-08   2.7484685e-08
   3.3000000e+07   1.1904211e-08   1.9002373e-08   1.7416941e-08   2.3079836e-08
   3.4000000e+07   9.8273545e-09   1.5982514e-08   1.4377390e-08   1.9414653e-08
   3.5000000e+07   8.1320981e-09   1.3468110e-08   1.1888093e-08   1.6358865e-08
   3.6000000e+07   6.7449349e-09   1.1369919e-08   9.8461223e-09   1.3806233e-08
   3.7000000e+07   5.6071271e-09   9.6153090e-09   8.1683684e-09   1.1669922e-08
   3.8000000e+07   4.6716258e-09   8.1450088e-09   6.7876228e-09   9.8788013e-09
   3.9000000e+07   3.9006539e-09   6.9105212e-09   5.6494575e-09   8.3744760e-09
   4.0000000e+07   3.2638075e-09   5.8720634e-09   4.7097296e-09   7.1088999e-09
