Geoneutrinos, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 

   1.2250000e+05   3.5909000e+01
   1.2350000e+05   3.6381000e+01
   1.2450000e+05   3.6855000e+01
   1.2550000e+05   3.7330000e+01
   1.2650000e+05   3.7806000e+01
   1.2750000e+05   3.8283000e+01
   1.2850000e+05   3.8761000e+01
   1.2950000e+05   3.9241000e+01
   1.3050000e+05   3.9721000e+01
   1.3150000e+05   4.0203000e+01
   1.3250000e+05   4.0687000e+01
   1.3350000e+05   4.1171000e+01
   1.3450000e+05   4.1657000e+01
   1.3550000e+05   4.2144000e+01
   1.3650000e+05   4.2631000e+01
   1.3750000e+05   4.3120000e+01
   1.3850000e+05   4.3610000e+01
   1.3950000e+05   4.4101000e+01
   1.4050000e+05   4.4567000e+01
   1.4150000e+05   4.5059000e+01
   1.4250000e+05   4.5553000e+01
   1.4350000e+05   4.6047000e+01
   1.4450000e+05   4.6542000e+01
   1.4550000e+05   4.7037000e+01
   1.4650000e+05   4.7534000e+01
   1.4750000e+05   4.8032000e+01
   1.4850000e+05   4.8530000e+01
   1.4950000e+05   4.9029000e+01
   1.5050000e+05   4.9529000e+01
   1.5150000e+05   5.0029000e+01
   1.5250000e+05   5.0529000e+01
   1.5350000e+05   5.1030000e+01
   1.5450000e+05   5.1532000e+01
   1.5550000e+05   5.2035000e+01
   1.5650000e+05   5.2538000e+01
   1.5750000e+05   5.3042000e+01
   1.5850000e+05   5.0668000e+01
   1.5950000e+05   5.1146000e+01
   1.6050000e+05   5.1624000e+01
   1.6150000e+05   5.2101000e+01
   1.6250000e+05   5.2579000e+01
   1.6350000e+05   5.3056000e+01
   1.6450000e+05   5.3535000e+01
   1.6550000e+05   5.4014000e+01
   1.6650000e+05   5.4493000e+01
   1.6750000e+05   5.4973000e+01
   1.6850000e+05   5.5454000e+01
   1.6950000e+05   5.5935000e+01
   1.7050000e+05   5.6416000e+01
   1.7150000e+05   5.6897000e+01
   1.7250000e+05   5.7377000e+01
   1.7350000e+05   5.7858000e+01
   1.7450000e+05   5.8338000e+01
   1.7550000e+05   5.8820000e+01
   1.7650000e+05   5.9301000e+01
   1.7750000e+05   5.9784000e+01
   1.7850000e+05   6.0266000e+01
   1.7950000e+05   6.0749000e+01
   1.8050000e+05   6.1232000e+01
   1.8150000e+05   6.1715000e+01
   1.8250000e+05   6.2080000e+01
   1.8350000e+05   6.2561000e+01
   1.8450000e+05   6.2119000e+01
   1.8550000e+05   6.2592000e+01
   1.8650000e+05   6.3066000e+01
   1.8750000e+05   6.3540000e+01
   1.8850000e+05   6.4014000e+01
   1.8950000e+05   6.4489000e+01
   1.9050000e+05   6.4941000e+01
   1.9150000e+05   6.5415000e+01
   1.9250000e+05   6.5886000e+01
   1.9350000e+05   6.6358000e+01
   1.9450000e+05   6.6830000e+01
   1.9550000e+05   6.7302000e+01
   1.9650000e+05   6.7775000e+01
   1.9750000e+05   6.8247000e+01
   1.9850000e+05   6.8700000e+01
   1.9950000e+05   4.3789000e+01
   2.0050000e+05   4.4077000e+01
   2.0150000e+05   4.4365000e+01
   2.0250000e+05   4.4650000e+01
   2.0350000e+05   4.4936000e+01
   2.0450000e+05   4.5222000e+01
   2.0550000e+05   4.5508000e+01
   2.0650000e+05   4.5794000e+01
   2.0750000e+05   4.6080000e+01
   2.0850000e+05   4.6367000e+01
   2.0950000e+05   4.6653000e+01
   2.1050000e+05   4.6940000e+01
   2.1150000e+05   4.7225000e+01
   2.1250000e+05   4.7508000e+01
   2.1350000e+05   4.7791000e+01
   2.1450000e+05   4.8074000e+01
   2.1550000e+05   4.8357000e+01
   2.1650000e+05   4.8641000e+01
   2.1750000e+05   4.8925000e+01
   2.1850000e+05   4.9209000e+01
   2.1950000e+05   4.9492000e+01
   2.2050000e+05   4.9763000e+01
   2.2150000e+05   5.0046000e+01
   2.2250000e+05   5.0326000e+01
   2.2350000e+05   5.0606000e+01
   2.2450000e+05   5.0886000e+01
   2.2550000e+05   5.1166000e+01
   2.2650000e+05   5.1447000e+01
   2.2750000e+05   5.1702000e+01
   2.2850000e+05   5.1982000e+01
   2.2950000e+05   5.2263000e+01
   2.3050000e+05   5.2543000e+01
   2.3150000e+05   5.2822000e+01
   2.3250000e+05   5.3098000e+01
   2.3350000e+05   5.3374000e+01
   2.3450000e+05   5.3616000e+01
   2.3550000e+05   5.3892000e+01
   2.3650000e+05   5.4169000e+01
   2.3750000e+05   5.4445000e+01
   2.3850000e+05   5.4721000e+01
   2.3950000e+05   5.4997000e+01
   2.4050000e+05   5.5274000e+01
   2.4150000e+05   5.5548000e+01
   2.4250000e+05   5.5820000e+01
   2.4350000e+05   5.6092000e+01
   2.4450000e+05   5.6364000e+01
   2.4550000e+05   5.6636000e+01
   2.4650000e+05   5.6908000e+01
   2.4750000e+05   5.7180000e+01
   2.4850000e+05   5.7452000e+01
   2.4950000e+05   5.7724000e+01
   2.5050000e+05   5.7996000e+01
   2.5150000e+05   5.8266000e+01
   2.5250000e+05   5.8533000e+01
   2.5350000e+05   5.8801000e+01
   2.5450000e+05   5.9068000e+01
   2.5550000e+05   5.9336000e+01
   2.5650000e+05   5.9603000e+01
   2.5750000e+05   5.9846000e+01
   2.5850000e+05   6.0114000e+01
   2.5950000e+05   6.0381000e+01
   2.6050000e+05   6.0648000e+01
   2.6150000e+05   6.0913000e+01
   2.6250000e+05   6.1175000e+01
   2.6350000e+05   6.1438000e+01
   2.6450000e+05   6.1695000e+01
