Reactor, in eV^-1 cm^-2 s^-1

    Energy [eV]         Flux 

   1.2589000e+04   1.3710000e+00
   1.2882000e+04   1.4411000e+00
   1.3183000e+04   1.5130000e+00
   1.3490000e+04   1.5870000e+00
   1.3804000e+04   1.6630000e+00
   1.4125000e+04   1.7411000e+00
   1.4454000e+04   1.8214000e+00
   1.4791000e+04   1.9039000e+00
   1.5136000e+04   1.9887000e+00
   1.5488000e+04   2.0759000e+00
   1.5849000e+04   2.1976000e+00
   1.6218000e+04   2.3438000e+00
   1.6596000e+04   2.4939000e+00
   1.6982000e+04   2.6479000e+00
   1.7378000e+04   2.8061000e+00
   1.7783000e+04   2.9685000e+00
   1.8197000e+04   3.1352000e+00
   1.8621000e+04   3.3063000e+00
   1.9055000e+04   3.4821000e+00
   1.9498000e+04   3.6626000e+00
   1.9953000e+04   3.8480000e+00
   2.0417000e+04   4.0384000e+00
   2.0893000e+04   4.2340000e+00
   2.1380000e+04   4.4349000e+00
   2.1878000e+04   4.6413000e+00
   2.2387000e+04   4.8533000e+00
   2.2909000e+04   5.0712000e+00
   2.3442000e+04   5.2950000e+00
   2.3988000e+04   5.5250000e+00
   2.4547000e+04   5.7614000e+00
   2.5119000e+04   6.0044000e+00
   2.5704000e+04   6.2542000e+00
   2.6303000e+04   6.5109000e+00
   2.6915000e+04   6.7748000e+00
   2.7542000e+04   7.0461000e+00
   2.8184000e+04   7.3251000e+00
   2.8840000e+04   7.6120000e+00
   2.9512000e+04   7.9071000e+00
   3.0200000e+04   8.2105000e+00
   3.0903000e+04   8.5227000e+00
   3.1623000e+04   8.6490000e+00
   3.2359000e+04   8.6364000e+00
   3.3113000e+04   8.6204000e+00
   3.3884000e+04   8.6010000e+00
   3.4674000e+04   8.5777000e+00
   3.5481000e+04   8.5504000e+00
   3.6308000e+04   8.5188000e+00
   3.7154000e+04   8.4827000e+00
   3.8019000e+04   8.4417000e+00
   3.8905000e+04   8.3956000e+00
   3.9811000e+04   8.3441000e+00
   4.0738000e+04   8.2867000e+00
   4.1687000e+04   8.2233000e+00
   4.2658000e+04   8.1533000e+00
   4.3652000e+04   8.0764000e+00
   4.4668000e+04   7.9922000e+00
   4.5709000e+04   7.9003000e+00
   4.6774000e+04   7.8002000e+00
   4.7863000e+04   7.6914000e+00
   4.8978000e+04   7.5749000e+00
   5.0119000e+04   7.4575000e+00
   5.1286000e+04   7.3300000e+00
   5.2481000e+04   7.1920000e+00
   5.3703000e+04   7.0428000e+00
   5.4954000e+04   6.8818000e+00
   5.6234000e+04   6.7082000e+00
   5.7544000e+04   6.5215000e+00
   5.8884000e+04   6.3209000e+00
   6.0256000e+04   6.1055000e+00
   6.1660000e+04   5.8535000e+00
   6.3096000e+04   5.7456000e+00
   6.4565000e+04   5.9165000e+00
   6.6069000e+04   6.0940000e+00
   6.7608000e+04   6.2785000e+00
   6.9183000e+04   6.4702000e+00
   7.0795000e+04   6.6694000e+00
   7.2444000e+04   6.8765000e+00
   7.4131000e+04   7.0918000e+00
   7.5858000e+04   7.3156000e+00
   7.7625000e+04   7.5484000e+00
   7.9433000e+04   7.7904000e+00
   8.1283000e+04   8.0421000e+00
   8.3176000e+04   8.3039000e+00
   8.5114000e+04   8.5762000e+00
   8.7096000e+04   8.8596000e+00
   8.9125000e+04   9.1544000e+00
   9.1201000e+04   9.4612000e+00
   9.3325000e+04   9.7804000e+00
   9.5499000e+04   1.0113000e+01
   9.7724000e+04   1.0459000e+01
   1.0000000e+05   1.0819000e+01
   1.0233000e+05   1.1193000e+01
   1.0471000e+05   1.1584000e+01
   1.0715000e+05   1.1990000e+01
   1.0965000e+05   1.2414000e+01
   1.1220000e+05   1.2854000e+01
   1.1482000e+05   1.3314000e+01
   1.1749000e+05   1.3792000e+01
   1.2023000e+05   1.4290000e+01
   1.2303000e+05   1.4835000e+01
   1.2589000e+05   1.5267000e+01
   1.2882000e+05   1.5352000e+01
   1.3183000e+05   1.5438000e+01
   1.3490000e+05   1.5525000e+01
   1.3804000e+05   1.5613000e+01
   1.4125000e+05   1.5701000e+01
   1.4454000e+05   1.5791000e+01
   1.4791000e+05   1.6239000e+01
   1.5136000e+05   1.6348000e+01
   1.5488000e+05   1.6458000e+01
   1.5849000e+05   1.6569000e+01
   1.6218000e+05   1.6682000e+01
   1.6596000e+05   1.6796000e+01
   1.6982000e+05   1.6910000e+01
   1.7378000e+05   1.7030000e+01
   1.7783000e+05   1.7152000e+01
   1.8197000e+05   1.7275000e+01
   1.8621000e+05   1.7398000e+01
   1.9055000e+05   1.7523000e+01
   1.9498000e+05   1.7649000e+01
   1.9953000e+05   1.8031000e+01
   2.0417000e+05   1.8880000e+01
   2.0893000e+05   1.9146000e+01
   2.1380000e+05   1.9274000e+01
   2.1878000e+05   1.9401000e+01
   2.2387000e+05   1.9529000e+01
   2.2909000e+05   1.9657000e+01
   2.3442000e+05   1.9730000e+01
   2.3988000e+05   1.9725000e+01
   2.4547000e+05   1.9716000e+01
   2.5119000e+05   1.9720000e+01
   2.5704000e+05   1.9783000e+01
   2.6303000e+05   1.9847000e+01
   2.6915000e+05   1.9914000e+01
   2.7542000e+05   1.9981000e+01
   2.8184000e+05   2.0051000e+01
   2.8840000e+05   2.0122000e+01
   2.9512000e+05   2.0192000e+01
   3.0200000e+05   2.0258000e+01
   3.0903000e+05   2.0326000e+01
   3.1623000e+05   2.0396000e+01
   3.2359000e+05   2.0467000e+01
   3.3113000e+05   2.0541000e+01
   3.3884000e+05   2.0615000e+01
   3.4674000e+05   2.0572000e+01
   3.5481000e+05   2.0507000e+01
   3.6308000e+05   2.0516000e+01
   3.7154000e+05   2.0526000e+01
   3.8019000e+05   2.0540000e+01
   3.8905000e+05   2.0562000e+01
   3.9811000e+05   2.0584000e+01
   4.0738000e+05   2.0540000e+01
   4.1687000e+05   2.0452000e+01
   4.2658000e+05   2.0306000e+01
   4.3652000e+05   1.9924000e+01
   4.4668000e+05   1.9793000e+01
   4.5709000e+05   1.9784000e+01
   4.6774000e+05   1.9805000e+01
   4.7863000e+05   1.9830000e+01
   4.8978000e+05   1.9859000e+01
   5.0119000e+05   1.9995000e+01
   5.1286000e+05   2.0180000e+01
   5.2481000e+05   2.0313000e+01
   5.3703000e+05   2.0315000e+01
   5.4954000e+05   2.0316000e+01
   5.6234000e+05   2.0317000e+01
   5.7544000e+05   2.0317000e+01
   5.8884000e+05   2.0317000e+01
   6.0256000e+05   2.0307000e+01
   6.1660000e+05   2.0291000e+01
   6.3096000e+05   2.0273000e+01
   6.4565000e+05   2.0255000e+01
   6.6069000e+05   2.0213000e+01
   6.7608000e+05   2.0138000e+01
   6.9183000e+05   2.0059000e+01
   7.0795000e+05   2.0004000e+01
   7.2444000e+05   2.0000000e+01
   7.4131000e+05   1.9995000e+01
   7.5858000e+05   1.9935000e+01
   7.7625000e+05   1.9817000e+01
   7.9433000e+05   1.9695000e+01
   8.1283000e+05   1.9569000e+01
   8.3176000e+05   1.9439000e+01
   8.5114000e+05   1.9328000e+01
   8.7096000e+05   1.9220000e+01
   8.9125000e+05   1.9108000e+01
   9.1201000e+05   1.8993000e+01
   9.3325000e+05   1.8873000e+01
   9.5499000e+05   1.8753000e+01
   9.7724000e+05   1.8628000e+01
   1.0000000e+06   1.8499000e+01
   1.0233000e+06   1.8228000e+01
   1.0471000e+06   1.7930000e+01
   1.0715000e+06   1.7615000e+01
   1.0965000e+06   1.7258000e+01
   1.1220000e+06   1.6891000e+01
   1.1482000e+06   1.6421000e+01
   1.1749000e+06   1.5925000e+01
   1.2023000e+06   1.5487000e+01
   1.2303000e+06   1.5062000e+01
   1.2589000e+06   1.4639000e+01
   1.2882000e+06   1.4309000e+01
   1.3183000e+06   1.3972000e+01
   1.3490000e+06   1.3627000e+01
   1.3804000e+06   1.3273000e+01
   1.4125000e+06   1.2909000e+01
   1.4454000e+06   1.2536000e+01
   1.4791000e+06   1.2153000e+01
   1.5136000e+06   1.1838000e+01
