Solar, nuclear, N13, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max

   1.4260000e+04   3.1579200e-01   5.7546000e-01
   2.8530000e+04   1.2456240e+00   2.2698700e+00
   4.2790000e+04   2.7544080e+00   5.0192900e+00
   5.7060000e+04   4.8246000e+00   8.7917500e+00
   7.1320000e+04   7.4035680e+00   1.3491340e+01
   8.5590000e+04   1.0456224e+01   1.9054120e+01
   9.9850000e+04   1.3965024e+01   2.5448120e+01
   1.1411000e+05   1.7894880e+01   3.2609400e+01
   1.2838000e+05   2.2228248e+01   4.0505990e+01
   1.4264000e+05   2.6912496e+01   4.9041980e+01
   1.5691000e+05   3.1930080e+01   5.8185400e+01
   1.7117000e+05   3.7263456e+01   6.7904280e+01
   1.8544000e+05   4.2877536e+01   7.8134680e+01
   1.9970000e+05   4.8719688e+01   8.8780690e+01
   2.1396000e+05   5.4807456e+01   9.9874280e+01
   2.2823000e+05   6.1088208e+01   1.1131954e+02
   2.4249000e+05   6.7526856e+01   1.2305253e+02
   2.5676000e+05   7.4140944e+01   1.3510522e+02
   2.7102000e+05   8.0860296e+01   1.4734973e+02
   2.8529000e+05   8.7667368e+01   1.5975409e+02
   2.9955000e+05   9.4579704e+01   1.7235027e+02
   3.1381000e+05   1.0152713e+02   1.8501039e+02
   3.2808000e+05   1.0850964e+02   1.9773445e+02
   3.4234000e+05   1.1549215e+02   2.1045851e+02
   3.5661000e+05   1.2247466e+02   2.2318257e+02
   3.7087000e+05   1.2943963e+02   2.3587466e+02
   3.8514000e+05   1.3633442e+02   2.4843887e+02
   3.9940000e+05   1.4315904e+02   2.6087520e+02
   4.1366000e+05   1.4989594e+02   2.7315168e+02
   4.2793000e+05   1.5652757e+02   2.8523634e+02
   4.4219000e+05   1.6303639e+02   2.9709721e+02
   4.5646000e+05   1.6940486e+02   3.0870232e+02
   4.7072000e+05   1.7561544e+02   3.2001970e+02
   4.8499000e+05   1.8163303e+02   3.3098541e+02
   4.9925000e+05   1.8747518e+02   3.4163142e+02
   5.1351000e+05   1.9312435e+02   3.5192576e+02
   5.2778000e+05   1.9852790e+02   3.6177252e+02
   5.4204000e+05   2.0372093e+02   3.7123564e+02
   5.5631000e+05   2.0865079e+02   3.8021921e+02
   5.7057000e+05   2.1333504e+02   3.8875520e+02
   5.8484000e+05   2.1773858e+02   3.9677967e+02
   5.9910000e+05   2.2186142e+02   4.0429262e+02
   6.1336000e+05   2.2570356e+02   4.1129405e+02
   6.2763000e+05   2.2922990e+02   4.1772002e+02
   6.4189000e+05   2.3242291e+02   4.2353856e+02
   6.5616000e+05   2.3531767e+02   4.2881361e+02
   6.7042000e+05   2.3786155e+02   4.3344926e+02
   6.8469000e+05   2.4007210e+02   4.3747748e+02
   6.9895000e+05   2.4193176e+02   4.4086630e+02
   7.1321000e+05   2.4344054e+02   4.4361572e+02
   7.2748000e+05   2.4456336e+02   4.4566180e+02
   7.4174000e+05   2.4531775e+02   4.4703651e+02
   7.5601000e+05   2.4570372e+02   4.4773985e+02
   7.7027000e+05   2.4570372e+02   4.4773985e+02
   7.8454000e+05   2.4531775e+02   4.4703651e+02
   7.9880000e+05   2.4451073e+02   4.4556589e+02
   8.1306000e+05   2.4333528e+02   4.4342390e+02
   8.2733000e+05   2.4172123e+02   4.4048266e+02
   8.4159000e+05   2.3972122e+02   4.3683808e+02
   8.5586000e+05   2.3730014e+02   4.3242622e+02
   8.7012000e+05   2.3445802e+02   4.2724708e+02
   8.8439000e+05   2.3119483e+02   4.2130066e+02
   8.9865000e+05   2.2749305e+02   4.1455499e+02
   9.1291000e+05   2.2337021e+02   4.0704204e+02
   9.2718000e+05   2.1880877e+02   3.9872984e+02
   9.4144000e+05   2.1379118e+02   3.8958642e+02
   9.5571000e+05   2.0833500e+02   3.7964375e+02
   9.6997000e+05   2.0242267e+02   3.6886986e+02
   9.8424000e+05   1.9605420e+02   3.5726475e+02
   9.9850000e+05   1.8919450e+02   3.4476448e+02
   1.0127600e+06   1.8186110e+02   3.3140102e+02
   1.0270300e+06   1.7400139e+02   3.1707846e+02
   1.0412900e+06   1.6561536e+02   3.0179680e+02
   1.0555600e+06   1.5668546e+02   2.8552407e+02
   1.0698200e+06   1.4714153e+02   2.6813239e+02
   1.0840900e+06   1.3693092e+02   2.4952585e+02
   1.0983500e+06   1.2601855e+02   2.2964051e+02
   1.1126100e+06   1.1424653e+02   2.0818864e+02
   1.1268800e+06   1.0149204e+02   1.8494645e+02
   1.1411400e+06   8.7491928e+01   1.5943439e+02
   1.1554100e+06   7.1825136e+01   1.3088518e+02
   1.1696700e+06   5.3632008e+01   9.7732290e+01
   1.1839400e+06   3.0982704e+01   5.6459020e+01
   1.1982000e+06   1.7544000e-06   3.1970000e-06
