
Solar, nuclear, O15, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max

   2.0620000e+04   1.6934400e-01   3.3579000e-01
   4.1230000e+04   6.7737600e-01   1.3431600e+00
   6.1850000e+04   1.4878080e+00   2.9501550e+00
   8.2460000e+04   2.5885440e+00   5.1327900e+00
   1.0308000e+05   3.9674880e+00   7.8670800e+00
   1.2369000e+05   5.6004480e+00   1.1105055e+01
   1.4431000e+05   7.4632320e+00   1.4798745e+01
   1.6492000e+05   9.5558400e+00   1.8948150e+01
   1.8554000e+05   1.1841984e+01   2.3481315e+01
   2.0615000e+05   1.4321664e+01   2.8398240e+01
   2.2677000e+05   1.6958592e+01   3.3626970e+01
   2.4739000e+05   1.9764864e+01   3.9191490e+01
   2.6800000e+05   2.2692096e+01   4.4995860e+01
   2.8862000e+05   2.5752384e+01   5.1064065e+01
   3.0923000e+05   2.8921536e+01   5.7348135e+01
   3.2985000e+05   3.2175360e+01   6.3800100e+01
   3.5046000e+05   3.5513856e+01   7.0419960e+01
   3.7108000e+05   3.8912832e+01   7.7159745e+01
   3.9169000e+05   4.2360192e+01   8.3995470e+01
   4.1231000e+05   4.5843840e+01   9.0903150e+01
   4.3293000e+05   4.9351680e+01   9.7858800e+01
   4.5354000e+05   5.2883712e+01   1.0486242e+02
   4.7416000e+05   5.6403648e+01   1.1184205e+02
   4.9477000e+05   5.9923584e+01   1.1882169e+02
   5.1539000e+05   6.3407232e+01   1.2572937e+02
   5.3600000e+05   6.6866688e+01   1.3258908e+02
   5.5662000e+05   7.0277760e+01   1.3935285e+02
   5.7723000e+05   7.3640448e+01   1.4602068e+02
   5.9785000e+05   7.6930560e+01   1.5254460e+02
   6.1846000e+05   8.0148096e+01   1.5892461e+02
   6.3908000e+05   8.3293056e+01   1.6516071e+02
   6.5970000e+05   8.6341248e+01   1.7120493e+02
   6.8031000e+05   8.9280576e+01   1.7703328e+02
   7.0093000e+05   9.2123136e+01   1.8266976e+02
   7.2154000e+05   9.4832640e+01   1.8804240e+02
   7.4216000e+05   9.7433280e+01   1.9319917e+02
   7.6277000e+05   9.9900864e+01   1.9809211e+02
   7.8339000e+05   1.0222330e+02   2.0269723e+02
   8.0400000e+05   1.0441267e+02   2.0703852e+02
   8.2462000e+05   1.0644480e+02   2.1106800e+02
   8.4523000e+05   1.0833178e+02   2.1480966e+02
   8.6585000e+05   1.1004941e+02   2.1821553e+02
   8.8647000e+05   1.1160979e+02   2.2130959e+02
   9.0708000e+05   1.1298874e+02   2.2404388e+02
   9.2770000e+05   1.1419834e+02   2.2644238e+02
   9.4831000e+05   1.1523859e+02   2.2850509e+02
   9.6893000e+05   1.1608531e+02   2.3018404e+02
   9.8954000e+05   1.1675059e+02   2.3150322e+02
   1.0101600e+06   1.1723443e+02   2.3246262e+02
   1.0307700e+06   1.1752474e+02   2.3303826e+02
   1.0513900e+06   1.1763360e+02   2.3325412e+02
   1.0720000e+06   1.1753683e+02   2.3306224e+02
   1.0926200e+06   1.1724653e+02   2.3248660e+02
   1.1132400e+06   1.1676269e+02   2.3152720e+02
   1.1338500e+06   1.1607322e+02   2.3016006e+02
   1.1544700e+06   1.1519021e+02   2.2840915e+02
   1.1750800e+06   1.1411366e+02   2.2627449e+02
   1.1957000e+06   1.1284358e+02   2.2375606e+02
   1.2163100e+06   1.1136787e+02   2.2082989e+02
   1.2369300e+06   1.0969862e+02   2.1751996e+02
   1.2575400e+06   1.0782374e+02   2.1380229e+02
   1.2781600e+06   1.0576742e+02   2.0972484e+02
   1.2987700e+06   1.0350547e+02   2.0523964e+02
   1.3193900e+06   1.0104998e+02   2.0037069e+02
   1.3400100e+06   9.8413056e+01   1.9514196e+02
   1.3606200e+06   9.5582592e+01   1.8952947e+02
   1.3812400e+06   9.2558592e+01   1.8353322e+02
   1.4018500e+06   8.9341056e+01   1.7715321e+02
   1.4224700e+06   8.5954176e+01   1.7043741e+02
   1.4430800e+06   8.2361664e+01   1.6331386e+02
   1.4637000e+06   7.8587712e+01   1.5583055e+02
   1.4843100e+06   7.4632320e+01   1.4798745e+02
   1.5049300e+06   7.0483392e+01   1.3976059e+02
   1.5255500e+06   6.6128832e+01   1.3112599e+02
   1.5461600e+06   6.1580736e+01   1.2210763e+02
   1.5667800e+06   5.6814912e+01   1.1265754e+02
   1.5873900e+06   5.1807168e+01   1.0272775e+02
   1.6080100e+06   4.6521216e+01   9.2246310e+01
   1.6286200e+06   4.0932864e+01   8.1165240e+01
   1.6492400e+06   3.4933248e+01   6.9268680e+01
   1.6698500e+06   2.8401408e+01   5.6316780e+01
   1.6904700e+06   2.1010752e+01   4.1661945e+01
   1.7110800e+06   1.2071808e+01   2.3937030e+01
   1.7317000e+06   1.2096000e-06   2.3985000e-06
